Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
22752128;Spacious modern apartment *minimal 1mth stay;109973659;Parramatta;Private room;50;14;1;2018-01-25;0.03;1;0;2020-06-11;Sydney;Australia;-33.81162555072456, 151.02171616892326;Australia, Sydney, Parramatta
23926024;Lovely One Brd Home with Large & Green Balcony;179476777;Marrickville;Entire home/apt;120;2;2;2018-05-04;0.08;1;0;2020-06-11;Sydney;Australia;-33.89344327289329, 151.16404879368844;Australia, Sydney, Marrickville
23931464;One double bedroom in Rosebery;150886241;Sydney;Private room;69;2;1;2019-08-28;0.1;1;0;2020-06-11;Sydney;Australia;-33.912215131070184, 151.20555896519753;Australia, Sydney, Sydney
25058825;Bondi Beach-Bright & Spacious Coastal 2 Bed Apt;189457952;Waverley;Entire home/apt;94;30;3;2018-11-23;0.13;1;0;2020-06-11;Sydney;Australia;-33.897473838996525, 151.27335805751898;Australia, Sydney, Waverley
25409165;悉尼奥林匹克公园码头看得见风景的完美套房;190893267;Auburn;Entire home/apt;119;2;10;2019-11-18;0.41;2;359;2020-06-11;Sydney;Australia;-33.82323190035219, 151.0787140930528;Australia, Sydney, Auburn
25555029;Stylish Aprt 5 minuets walks from Central;110682012;Sydney;Private room;61;1;58;2020-03-02;2.35;3;130;2020-06-11;Sydney;Australia;-33.88340908887869, 151.21370382241466;Australia, Sydney, Sydney
27687850;☀️Queen Room 2 minutes walk to Beach ☀️Willkommen!;110922988;Warringah;Private room;64;4;14;2019-12-30;0.64;2;0;2020-06-11;Sydney;Australia;-33.77834605658976, 151.2894612426734;Australia, Sydney, Warringah
28192294;THE BLACK ACE  |  AVALON BEACH;4168259;Pittwater;Entire home/apt;650;2;35;2020-01-18;1.76;1;64;2020-06-11;Sydney;Australia;-33.637285464878836, 151.3308820346009;Australia, Sydney, Pittwater
28794302;Place of sunset;217118230;Strathfield;Private room;46;14;0;;;1;365;2020-06-11;Sydney;Australia;-33.89339843692872, 151.083358556385;Australia, Sydney, Strathfield
29713971;Redfern Retreat - LOCATION!!  近市中心交通方便 安全干净 我说中英文;222194601;Sydney;Private room;90;3;30;2020-01-30;1.54;1;61;2020-06-11;Sydney;Australia;-33.89140773037767, 151.2009300728196;Australia, Sydney, Sydney
30478103;Sydney Bondi Beach Fully Furnished;61347580;Waverley;Entire home/apt;140;2;2;2019-03-02;0.11;2;0;2020-06-11;Sydney;Australia;-33.892676590743264, 151.24544271527554;Australia, Sydney, Waverley
30542282;PROS - 'Chesterman' in Cremorne - Executive Villa;16357713;North Sydney;Entire home/apt;385;7;0;;;73;17;2020-06-11;Sydney;Australia;-33.821325411899416, 151.2300089505574;Australia, Sydney, North Sydney
30758399;Peacefull and cosy double bed room;230160952;Ryde;Private room;52;1;0;;;1;87;2020-06-11;Sydney;Australia;-33.81630851265971, 151.10748739397647;Australia, Sydney, Ryde
41340377;"art resort montalbano ""terrarossa""";17261019;Fasano;Entire home/apt;60;2;0;;;5;255;2020-06-25;Puglia;Italy;40.77832744847876, 17.480654188522713;Italy, Puglia, Fasano
3235236;Temporada para copa 2014;16372351;Tijuca;Private room;270;1;0;;;1;0;2020-06-19;Rio-de-janeiro;Brazil;-22.929102553385743, -43.241657409497506;Brazil, Rio-de-janeiro, Tijuca
7783268;Quarto individual para Temporada RJ;40954557;Vila Isabel;Private room;498;3;0;;;2;365;2020-06-19;Rio-de-janeiro;Brazil;-22.912419762240688, -43.24888357639863;Brazil, Rio-de-janeiro, Vila Isabel
8970998;Beautiful 3 rooms in Leblon;823800;Leblon;Entire home/apt;1699;3;3;2020-01-02;0.06;24;195;2020-06-19;Rio-de-janeiro;Brazil;-22.984786023367043, -43.22132609119414;Brazil, Rio-de-janeiro, Leblon
9092455;COPACABANA 1 BEDROOM POSTO 5 SARAH;13392098;Copacabana;Entire home/apt;101;3;7;2020-01-16;0.21;18;365;2020-06-19;Rio-de-janeiro;Brazil;-22.98003447796439, -43.18933756161639;Brazil, Rio-de-janeiro, Copacabana
